IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST
zm15316,0.3062,23,63,0.365079365
zm15317,0.3063,27,63,0.428571429
zt9,0.3064,28,62,0.451612903
zt418,0.3073,22,63,0.349206349
zm15953,0.3076,12,46,0.260869565
zt4,0.308,22,61,0.360655738
zt190,0.3087,23,63,0.365079365
zt206,0.3093,22,63,0.349206349
zm15615,0.3094,26,63,0.412698413
zm15686,0.31,16,56,0.285714286
zm15130,0.3103,23,62,0.370967742
zm15147,0.3106,13,37,0.351351351
zt264,0.3106,24,63,0.380952381
zm15198,0.311,20,47,0.425531915
zm15861,0.3113,8,53,0.150943396
zt261,0.312,21,62,0.338709677
zt479,0.3124,22,63,0.349206349
zt603,0.3125,30,61,0.491803279
zt298,0.3127,23,54,0.425925926
zt614,0.3133,26,62,0.419354839
zt331,0.3135,28,62,0.451612903
zt284,0.3145,27,62,0.435483871
zt701,0.3152,29,63,0.46031746
zt608,0.3173,24,61,0.393442623
zm15974,0.3186,16,54,0.296296296
zm15377,0.3194,22,62,0.35483871
zm15531,0.3196,18,55,0.327272727
zm15637,0.3204,9,48,0.1875
zm15682,0.3214,21,62,0.338709677
zt3,0.3217,28,61,0.459016393
zm15753,0.3223,31,59,0.525423729
zm15610,0.3235,20,53,0.377358491
zm15681,0.3245,24,59,0.406779661
zm15582,0.3256,8,46,0.173913043
zm14634,0.3263,23,63,0.365079365
zm15151,0.3272,9,50,0.18
zt459,0.3276,23,63,0.365079365
zm15124,0.3289,25,55,0.454545455
zm14827,0.3296,21,62,0.338709677
zt275,0.3307,19,62,0.306451613
zt250,0.3308,19,61,0.31147541
mcz63145,0.3309,5,43,0.11627907
zm15616,0.3318,15,61,0.245901639
zt601,0.3345,25,61,0.409836066
zm15180,0.3364,20,63,0.317460317
zt401,0.3365,31,63,0.492063492
zm15376,0.3379,19,62,0.306451613
zm14627,0.3392,25,59,0.423728814
zm14754,0.3411,9,33,0.272727273
zm14207,0.342,22,41,0.536585366
zt196,0.3424,32,62,0.516129032
zt678,0.3444,29,59,0.491525424
zm15318,0.3462,28,62,0.451612903
zm14705,0.3517,25,62,0.403225806
zm14487,0.3527,15,46,0.326086957
zm15143,0.3542,25,59,0.423728814
zm15379,0.3563,25,63,0.396825397
zm15612,0.3573,21,44,0.477272727
zm15627,0.3606,27,57,0.473684211
zt639,0.3623,14,52,0.269230769
zm15609,0.3632,25,53,0.471698113
zm15611,0.3642,27,55,0.490909091
zm15705,0.3642,31,63,0.492063492
zt260,0.3666,15,46,0.326086957
zm15973,0.3671,13,51,0.254901961
ztpb150.664,0.371,29,63,0.46031746
zm14624,0.3734,23,59,0.389830508
zm15139,0.3737,26,62,0.419354839
zt478,0.38,25,61,0.409836066
adk2798,0.3869,27,62,0.435483871
zm15136,0.3869,28,63,0.444444444
zm13642,0.4019,16,41,0.390243902
zt385,0.4058,31,63,0.492063492
zt184,0.4122,19,54,0.351851852
zm15576,0.4147,15,47,0.319148936
zm15635,0.415,9,44,0.204545455
zm15120,0.4251,16,38,0.421052632
zm14623,0.4404,17,61,0.278688525
zm15199,0.4631,31,63,0.492063492
