IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST,State/Province
zm15625,0.1917,17,63,0.26984127,Pennsylvania
zt393,0.1927,14,63,0.222222222,New York
zt695,0.193,22,62,0.35483871,Pennsylvania
zt704,0.1931,20,62,0.322580645,Pennsylvania
zt391,0.1933,16,63,0.253968254,New York
adk2853,0.1935,19,63,0.301587302,New York
zt399,0.1935,15,62,0.241935484,New York
zt323,0.1942,13,63,0.206349206,New York
zt213,0.1945,20,63,0.317460317,New York
zm14671,0.1954,20,62,0.322580645,Ohio
zt329,0.1956,24,59,0.406779661,New York
zt457,0.196,23,63,0.365079365,Pennsylvania
zt281,0.1968,21,63,0.333333333,New York
zm13982,0.1975,18,55,0.327272727,New York
zm15525,0.1978,20,62,0.322580645,New York
zt226,0.1978,24,58,0.413793103,New York
zt409,0.1979,19,63,0.301587302,New York
zt381,0.1988,20,62,0.322580645,New York
zt330,0.1993,12,51,0.235294118,New York
zt632,0.2,26,62,0.419354839,Pennsylvania
zt694,0.2,20,62,0.322580645,Pennsylvania
zm14633,0.2009,13,63,0.206349206,New York
zt282,0.2015,17,61,0.278688525,New York
zt6,0.2025,19,62,0.306451613,Vermont
zt285,0.2027,19,59,0.322033898,New York
zt262,0.2029,23,62,0.370967742,New York
zt661,0.2031,9,51,0.176470588,Pennsylvania
zt484,0.2036,22,61,0.360655738,Pennsylvania
zm15132,0.2037,21,62,0.338709677,Ohio
zm15293,0.2037,29,63,0.46031746,Quebec
zm14769,0.2038,16,61,0.262295082,New York
zt651,0.2039,17,57,0.298245614,Pennsylvania
zm15617,0.204,6,41,0.146341463,Pennsylvania
zm15669,0.2041,20,63,0.317460317,Maine
zt640,0.2044,17,57,0.298245614,Pennsylvania
zt200,0.2046,26,63,0.412698413,New York
zm15526,0.2048,17,58,0.293103448,New York
zm15652,0.2064,17,61,0.278688525,Maine
zm15508,0.2074,13,56,0.232142857,Quebec
zm14981,0.2078,17,63,0.26984127,Vermont
zt383,0.2084,23,63,0.365079365,New York
zt326,0.2091,18,63,0.285714286,New York
zm15976,0.2092,17,62,0.274193548,Pennsylvania
zt301,0.2092,24,63,0.380952381,New York
zt471,0.2098,26,62,0.419354839,Pennsylvania
zm14503,0.211,16,59,0.271186441,New York
zt5,0.2115,17,58,0.293103448,Vermont
zt333,0.2118,21,62,0.338709677,New York
zm14702,0.212,21,63,0.333333333,Connecticut
zt609,0.212,22,62,0.35483871,Pennsylvania
zt633,0.2129,11,53,0.20754717,Pennsylvania
zt700,0.2129,22,61,0.360655738,Pennsylvania
zm14206,0.2131,14,63,0.222222222,New York
zt295,0.2131,20,63,0.317460317,New York
zm15411,0.2142,23,63,0.365079365,Quebec
zm14672,0.2143,23,62,0.370967742,Ohio
zt660,0.2151,20,60,0.333333333,Pennsylvania
zt672,0.2165,20,57,0.350877193,Pennsylvania
zm13971,0.2177,17,51,0.333333333,New York
zt600,0.218,23,63,0.365079365,Pennsylvania
zm15985,0.2181,11,62,0.177419355,Rhode Island
zm14665,0.2182,18,63,0.285714286,Ohio
zm15306,0.2195,23,63,0.365079365,Quebec
zm14666,0.2196,20,62,0.322580645,Ohio
zm13615,0.2197,15,55,0.272727273,New York
zt406,0.2201,23,63,0.365079365,New York
zt303,0.2202,16,53,0.301886792,New York
zt415,0.2202,23,63,0.365079365,New York
zt452,0.2202,20,63,0.317460317,Pennsylvania
zt239,0.2205,20,62,0.322580645,New York
zm15981,0.2208,24,58,0.413793103,Pennsylvania
zt698,0.2208,14,63,0.222222222,Pennsylvania
zm15146,0.2213,18,61,0.295081967,Vermont
zt631,0.2216,18,61,0.295081967,Pennsylvania
zt234,0.222,21,62,0.338709677,New York
zm13986,0.2224,23,63,0.365079365,New York
zt675,0.2224,20,62,0.322580645,Pennsylvania
zt188,0.223,24,62,0.387096774,New York
zt225,0.2233,29,61,0.475409836,New York
zm15613,0.2239,19,50,0.38,New Jersey
zm14782,0.224,23,63,0.365079365,Ohio
zm14818,0.224,24,62,0.387096774,Ohio
zt251,0.2242,13,59,0.220338983,Pennsylvania
zt421,0.2242,20,59,0.338983051,New York
zm15319,0.2243,24,63,0.380952381,Quebec
zt643,0.2243,18,62,0.290322581,Pennsylvania
adk2868,0.2258,20,60,0.333333333,New York
ztpb10,0.2278,19,63,0.301587302,New York
adk483,0.2287,22,63,0.349206349,New York
zt642,0.2287,23,62,0.370967742,Pennsylvania
zt702,0.2287,19,61,0.31147541,Pennsylvania
zt606,0.2288,21,60,0.35,Pennsylvania
zt342,0.2289,17,63,0.26984127,New York
zt703,0.2293,25,61,0.409836066,Pennsylvania
zt247,0.2301,15,63,0.238095238,New York
zt384,0.2302,22,63,0.349206349,New York
zt629,0.2307,14,62,0.225806452,Pennsylvania
zm15310,0.2314,17,62,0.274193548,Quebec
zm14819,0.2315,28,62,0.451612903,Ohio
zt41,0.2319,20,63,0.317460317,New York
zm14638,0.2322,14,63,0.222222222,New York
zm15321,0.2325,18,63,0.285714286,Quebec
zt411,0.2326,27,63,0.428571429,New York
zt466,0.2326,21,63,0.333333333,Pennsylvania
zm15520,0.2333,23,62,0.370967742,Quebec
zt486,0.2333,16,52,0.307692308,Pennsylvania
zt417,0.2334,18,63,0.285714286,New York
ztpb6,0.2339,29,60,0.483333333,New York
zt292,0.2361,18,62,0.290322581,New York
zt463,0.2362,26,63,0.412698413,Pennsylvania
zm13580,0.2363,19,63,0.301587302,New York
zt625,0.2364,22,59,0.372881356,Pennsylvania
